Price,Open,High,Low,Close,Volume,SMA_10,SMA_50,SMA_200,EMA_12,EMA_26,RSI,MACD,MACD_Signal,MACD_Hist,BB_Middle,BB_Upper,BB_Lower,BB_Width,Volume_MA_20,Volume_Change,Returns,Close_Lag_1,Close_Lag_7,HL_Range,HL_Range_Pct
2021-11-09,391.2000122070313,391.5,337.17333984375,341.1666564941406,177317400.0,382.05966796875,288.3129348754883,242.64728408813477,367.11982704606464,335.5495528565731,62.0095579823599,31.570274189491556,31.285417081519633,0.28485710797192354,339.6895004272461,439.7712899917709,239.6077108627213,200.16357912904962,97378875.0,0.7672167124622897,-0.11990303254359858,387.6466674804688,371.3333435058594,54.32666015625,15.92378948004933
2021-11-10,336.8033447265625,359.3666687011719,329.10333251953125,355.9833374023437,128408100.0,383.0626678466797,290.5278015136719,242.98693405151369,365.4065209470307,337.0631665266302,62.92712279228322,28.343354420400487,30.697004549295805,-2.3536501288953176,343.97066802978514,438.7502698808838,249.19106617868647,189.55920370219735,101681265.0,-0.2758291064497901,0.043429451929624774,341.1666564941406,402.86334228515625,30.263336181640625,8.501335035082286
2021-11-11,367.5899963378906,368.3233337402344,351.5599975585937,354.5033264160156,67189800.0,382.6116668701172,292.7239346313477,243.3670674133301,363.7291064037976,338.3550302221402,61.62612757731959,25.374076181657358,29.632418875768117,-4.258342694110759,348.05716705322266,436.7648005455447,259.3495335609006,177.41526698464406,103203675.0,-0.4767479621612656,-0.004157528824601409,355.9833374023437,390.6666564941406,16.763336181640682,4.728682337374917
2021-11-12,349.1666564941406,351.5,339.7333374023437,344.47332763671875,76719300.0,379.9256652832031,294.7308010864258,243.76688400268554,360.76667890117005,338.80823743803495,50.74243627854709,21.958441463135102,28.097623393241516,-6.139181930106414,351.23033294677737,434.19399412055014,268.2666717730046,165.92732234754556,104200950.0,0.14182956341587571,-0.02829310201599211,354.5033264160156,404.6199951171875,11.766662597656307,3.4158414175002303
2021-11-15,339.2099914550781,343.99334716796875,326.20001220703125,337.7966613769531,104326800.0,373.4189971923828,296.5962677001953,244.05618392944336,357.23283005129053,338.7333058779548,49.57294131337031,18.499524173335715,26.17800354926036,-7.6784793759246455,353.6183319091797,431.7758691198556,275.4607946985038,156.31507442135182,105786210.0,0.3598507807031608,-0.01938224449936754,344.47332763671875,409.9700012207031,17.7933349609375,5.26746915982145
2021-11-16,334.4366760253906,352.3999938964844,334.0599975585937,351.57666015625,79627200.0,369.50999755859374,298.60833435058595,244.3594172668457,356.36265006743815,339.6846654541248,51.378287143591244,16.677984613313356,24.27799976207096,-7.600015148757603,356.7926651000977,428.6470951289237,284.93823507127166,143.70886005765203,107160405.0,-0.23675220556942222,0.04079376842602822,337.7966613769531,407.36334228515625,18.339996337890682,5.216499960418277
2021-11-17,354.5033264160156,373.21331787109375,351.8333435058594,363.0033264160156,94336200.0,365.34833068847655,300.8426010131836,244.74995056152343,357.3842925826039,341.41197367352413,50.98584777902243,15.972318909079775,22.616863591472722,-6.644544682392947,360.51283111572263,424.80831948069044,296.2173427507548,128.59097672993562,109772400.0,0.18472331062752434,0.032501208284666294,351.57666015625,387.6466674804688,21.379974365234375,5.889746128863874
2021-11-18,368.8500061035156,370.6666564941406,358.3399963378906,365.4599914550781,62696700.0,360.89732971191404,303.1194009399414,245.1606005859375,358.6267077937538,343.1933083240096,48.474454496482316,15.433399469744188,21.180170767127017,-5.746771297382828,363.8858306884766,421.0562122056492,306.71544917130393,114.34076303434529,108185010.0,-0.3353908679806903,0.006767610267700563,363.0033264160156,341.1666564941406,12.32666015625,3.372916446249405
2021-11-19,366.2900085449219,379.5733337402344,364.23333740234375,379.0199890136719,64926900.0,358.0629943847656,305.79133392333983,245.63531723022462,361.7641356737412,345.8471365232438,43.16927029738235,15.916999150497361,20.127536443801084,-4.210537293303723,367.6754974365234,417.49078792417123,317.8602069488756,99.63058097529563,107999235.0,0.03557125016149176,0.03710391800920432,365.4599914550781,355.9833374023437,15.339996337890625,4.047278978032287
2021-11-22,387.4433288574219,400.6499938964844,377.4766540527344,385.6233215332031,99217500.0,357.86065979003905,308.5504669189453,246.12440048217775,365.4347796521199,348.79352059805564,48.507330033791455,16.641259054064278,19.430280965853722,-2.789021911789444,369.8756637573242,418.7231074595719,321.02822005507653,97.69488740449538,103532295.0,0.5281416485308863,0.017422122080461122,379.0199890136719,354.5033264160156,23.17333984375,6.009320118818259
